real,user,sys,benchmark,threads,loadconfig
79.53,159.52,0.40,default,3,plain
81.38,163.20,0.34,default,3,random
81.86,163.98,0.42,default,3,single
78.78,158.79,0.36,default,3,plain
81.26,163.18,0.36,default,3,random
81.76,163.82,0.36,default,3,single
78.84,158.69,0.36,default,3,plain
81.23,163.12,0.34,default,3,random
81.69,163.85,0.36,default,3,single
79.09,159.18,0.37,default,3,plain
81.45,163.18,0.36,default,3,random
81.72,163.68,0.42,default,3,single
78.91,158.84,0.36,default,3,plain
81.45,163.36,0.35,default,3,random
81.65,163.78,0.33,default,3,single
78.75,158.51,0.43,default,3,plain
81.20,162.80,0.36,default,3,random
81.61,163.72,0.40,default,3,single
78.95,158.76,0.40,default,3,plain
81.43,163.32,0.38,default,3,random
81.61,163.75,0.31,default,3,single
78.86,158.76,0.38,default,3,plain
83.13,164.93,0.33,default,3,random
81.59,163.68,0.40,default,3,single
78.91,158.92,0.38,default,3,plain
81.27,163.20,0.35,default,3,random
81.64,163.83,0.37,default,3,single
79.01,158.91,0.39,default,3,plain
81.44,163.31,0.38,default,3,random
81.85,163.95,0.41,default,3,single
79.28,159.35,0.44,caching,3,plain
82.92,166.12,0.41,caching,3,random
83.03,165.75,0.29,caching,3,single
79.74,159.74,0.46,caching,3,plain
82.79,165.88,0.34,caching,3,random
82.34,164.96,0.32,caching,3,single
79.20,159.27,0.42,caching,3,plain
83.62,166.80,0.45,caching,3,random
82.36,165.02,0.39,caching,3,single
79.61,159.56,0.45,caching,3,plain
82.93,166.07,0.37,caching,3,random
82.31,164.96,0.39,caching,3,single
79.09,159.11,0.42,caching,3,plain
82.94,166.10,0.36,caching,3,random
82.26,164.84,0.42,caching,3,single
78.95,158.94,0.40,caching,3,plain
83.42,166.48,0.32,caching,3,random
82.51,165.34,0.35,caching,3,single
79.18,159.18,0.38,caching,3,plain
82.89,165.94,0.41,caching,3,random
82.35,164.99,0.38,caching,3,single
79.43,159.19,0.44,caching,3,plain
82.76,165.97,0.33,caching,3,random
82.32,164.98,0.40,caching,3,single
78.80,158.77,0.40,caching,3,plain
82.61,165.65,0.37,caching,3,random
82.33,164.88,0.41,caching,3,single
79.21,158.98,0.43,caching,3,plain
82.81,165.81,0.41,caching,3,random
82.35,165.00,0.38,caching,3,single
78.91,158.86,0.31,big buffer,3,plain
83.78,169.46,0.42,big buffer,3,random
83.74,169.45,0.39,big buffer,3,single
79.40,159.44,0.44,big buffer,3,plain
84.52,170.20,0.36,big buffer,3,random
83.94,169.88,0.38,big buffer,3,single
79.05,158.96,0.44,big buffer,3,plain
83.69,169.34,0.34,big buffer,3,random
83.76,169.56,0.35,big buffer,3,single
78.85,158.93,0.40,big buffer,3,plain
83.81,169.44,0.34,big buffer,3,random
83.81,169.64,0.34,big buffer,3,single
79.06,158.95,0.39,big buffer,3,plain
83.86,169.50,0.39,big buffer,3,random
83.77,169.56,0.37,big buffer,3,single
79.02,158.88,0.45,big buffer,3,plain
83.81,169.48,0.31,big buffer,3,random
83.82,169.58,0.40,big buffer,3,single
79.04,158.83,0.40,big buffer,3,plain
83.75,169.42,0.36,big buffer,3,random
83.81,169.54,0.36,big buffer,3,single
78.95,159.06,0.41,big buffer,3,plain
83.72,169.45,0.34,big buffer,3,random
83.90,169.73,0.37,big buffer,3,single
78.93,158.99,0.39,big buffer,3,plain
83.79,169.49,0.39,big buffer,3,random
84.48,170.22,0.35,big buffer,3,single
79.48,159.49,0.42,big buffer,3,plain
83.78,169.42,0.30,big buffer,3,random
83.89,169.63,0.39,big buffer,3,single
81.02,166.49,0.36,single channel,3,plain
90.22,188.04,0.54,single channel,3,random
91.45,191.01,0.58,single channel,3,single
80.87,166.35,0.38,single channel,3,plain
86.66,179.70,0.33,single channel,3,random
90.27,188.05,0.46,single channel,3,single
86.63,178.94,0.61,single channel,3,plain
87.18,180.01,0.45,single channel,3,random
91.92,192.16,0.54,single channel,3,single
86.85,180.79,0.47,single channel,3,plain
90.64,189.22,0.48,single channel,3,random
91.84,192.23,0.47,single channel,3,single
81.37,167.25,0.50,single channel,3,plain
86.63,179.48,0.35,single channel,3,random
92.36,193.49,0.51,single channel,3,single
87.20,181.54,0.67,single channel,3,plain
86.76,179.73,0.38,single channel,3,random
89.07,185.70,0.52,single channel,3,single
80.74,166.27,0.38,single channel,3,plain
91.56,191.67,0.55,single channel,3,random
92.46,193.58,0.46,single channel,3,single
87.13,181.58,0.48,single channel,3,plain
87.26,180.14,0.41,single channel,3,random
92.04,192.75,0.48,single channel,3,single
86.60,180.03,0.50,single channel,3,plain
86.61,179.47,0.36,single channel,3,random
87.88,182.32,0.38,single channel,3,single
87.08,181.27,0.55,single channel,3,plain
87.18,180.01,0.41,single channel,3,random
88.91,184.66,0.55,single channel,3,single
