real,user,sys,benchmark,threads,loadconfig
108.03,222.94,0.20,default,3,plain
109.08,224.25,0.24,default,3,random
108.43,223.55,0.30,default,3,single
108.14,223.05,0.24,default,3,plain
108.02,223.16,0.25,default,3,random
108.47,223.65,0.23,default,3,single
108.80,223.64,0.26,default,3,plain
108.21,223.34,0.23,default,3,random
108.02,223.19,0.24,default,3,single
108.36,223.23,0.28,default,3,plain
108.75,223.94,0.24,default,3,random
108.04,223.18,0.26,default,3,single
107.68,222.58,0.21,default,3,plain
107.76,222.88,0.29,default,3,random
107.96,223.09,0.28,default,3,single
107.37,222.24,0.28,default,3,plain
109.33,224.49,0.26,default,3,random
108.07,223.21,0.26,default,3,single
108.21,223.10,0.23,default,3,plain
107.92,223.10,0.25,default,3,random
107.35,222.47,0.29,default,3,single
107.08,222.00,0.30,default,3,plain
107.40,222.46,0.32,default,3,random
108.74,223.87,0.25,default,3,single
107.63,222.52,0.23,default,3,plain
107.83,222.92,0.32,default,3,random
108.85,223.99,0.26,default,3,single
107.07,221.92,0.30,default,3,plain
108.15,223.23,0.28,default,3,random
107.91,223.07,0.26,default,3,single
107.17,222.06,0.24,caching,3,plain
109.18,224.42,0.27,caching,3,random
108.57,223.74,0.30,caching,3,single
107.08,221.98,0.25,caching,3,plain
108.33,223.62,0.24,caching,3,random
108.73,223.93,0.30,caching,3,single
107.50,222.33,0.30,caching,3,plain
108.44,223.74,0.22,caching,3,random
107.13,222.35,0.26,caching,3,single
107.64,222.51,0.28,caching,3,plain
107.30,222.52,0.28,caching,3,random
107.56,222.80,0.25,caching,3,single
106.99,221.85,0.28,caching,3,plain
108.07,223.30,0.31,caching,3,random
109.57,224.76,0.27,caching,3,single
110.03,224.85,0.30,caching,3,plain
107.79,223.01,0.29,caching,3,random
107.78,223.03,0.24,caching,3,single
107.37,222.28,0.27,caching,3,plain
107.99,223.28,0.25,caching,3,random
107.46,222.65,0.27,caching,3,single
107.62,222.53,0.22,caching,3,plain
107.62,222.93,0.24,caching,3,random
108.45,223.70,0.24,caching,3,single
107.83,222.66,0.28,caching,3,plain
108.62,223.86,0.30,caching,3,random
108.26,223.48,0.25,caching,3,single
108.22,223.10,0.27,caching,3,plain
107.61,222.91,0.26,caching,3,random
107.64,222.84,0.28,caching,3,single
107.81,222.65,0.27,big buffer,3,plain
107.74,222.87,0.35,big buffer,3,random
108.71,223.88,0.41,big buffer,3,single
107.24,222.21,0.23,big buffer,3,plain
107.67,222.78,0.41,big buffer,3,random
109.16,224.32,0.33,big buffer,3,single
107.49,222.41,0.22,big buffer,3,plain
108.01,223.20,0.27,big buffer,3,random
108.70,223.78,0.40,big buffer,3,single
107.02,221.85,0.30,big buffer,3,plain
108.21,223.33,0.42,big buffer,3,random
108.37,223.45,0.39,big buffer,3,single
107.43,222.57,0.24,big buffer,3,plain
108.51,223.59,0.37,big buffer,3,random
107.66,222.74,0.34,big buffer,3,single
106.94,221.88,0.24,big buffer,3,plain
108.45,223.54,0.42,big buffer,3,random
107.79,222.88,0.42,big buffer,3,single
106.91,221.81,0.24,big buffer,3,plain
107.60,222.66,0.38,big buffer,3,random
107.84,222.96,0.38,big buffer,3,single
107.48,222.32,0.27,big buffer,3,plain
107.91,222.94,0.49,big buffer,3,random
109.72,224.80,0.41,big buffer,3,single
107.07,222.02,0.22,big buffer,3,plain
108.58,223.61,0.46,big buffer,3,random
108.02,223.02,0.42,big buffer,3,single
107.01,221.88,0.32,big buffer,3,plain
108.83,223.90,0.44,big buffer,3,random
108.83,223.86,0.47,big buffer,3,single
108.18,222.91,0.65,single channel,3,plain
109.54,224.36,1.16,single channel,3,random
108.06,223.30,0.34,single channel,3,single
107.78,222.64,0.44,single channel,3,plain
108.62,223.79,0.42,single channel,3,random
107.95,223.08,0.47,single channel,3,single
107.35,222.18,0.37,single channel,3,plain
108.69,223.86,0.50,single channel,3,random
108.01,223.21,0.36,single channel,3,single
107.72,222.60,0.29,single channel,3,plain
107.93,223.24,0.32,single channel,3,random
108.43,223.58,0.48,single channel,3,single
109.43,223.96,0.84,single channel,3,plain
108.17,223.31,0.46,single channel,3,random
108.08,223.31,0.39,single channel,3,single
107.67,222.57,0.31,single channel,3,plain
108.64,223.97,0.33,single channel,3,random
108.97,224.15,0.42,single channel,3,single
108.40,223.36,0.30,single channel,3,plain
107.67,222.83,0.45,single channel,3,random
108.32,223.63,0.33,single channel,3,single
109.83,224.30,1.12,single channel,3,plain
107.97,223.24,0.32,single channel,3,random
107.79,222.87,0.51,single channel,3,single
110.02,224.48,1.15,single channel,3,plain
108.71,223.87,0.49,single channel,3,random
108.45,223.61,0.44,single channel,3,single
106.84,221.68,0.37,single channel,3,plain
108.11,223.42,0.29,single channel,3,random
108.19,223.44,0.36,single channel,3,single
