counter	time	pattern	bufsize	caching	blocks_total	cmds_total	pcm_total
ItoM-hits-filtered	6.00s	single-write	small	none	500000	500000	64000006
ItoM-misses-filtered	7.00s	single-write	small	none	500000	500000	749862
ItoM-hits-filtered	6.00s	random-write	small	none	3100000	100000	204800000
ItoM-misses-filtered	6.00s	random-write	small	none	3100000	100000	549795
PCIeRdCur-hits	6.00s	single-read	small	none	249999	249999	32500407
PCIeRdCur-misses	6.00s	single-read	small	none	250000	250000	61409
PCIeRdCur-hits	9.00s	random-read	small	none	1550000	50000	102700372
PCIeRdCur-misses	9.00s	random-read	small	none	1550000	50000	180445
ItoM-hits-filtered	7.00s	single-write	small	once	500000	500000	64000000
ItoM-misses-filtered	6.00s	single-write	small	once	500000	500000	112235
ItoM-hits-filtered	6.00s	random-write	small	once	3100000	100000	204800000
ItoM-misses-filtered	6.00s	random-write	small	once	3100000	100000	931025
PCIeRdCur-hits	6.00s	single-read	small	once	250000	250000	32500912
PCIeRdCur-misses	6.00s	single-read	small	once	250000	250000	105909
PCIeRdCur-hits	9.00s	random-read	small	once	1550000	50000	102700978
PCIeRdCur-misses	9.00s	random-read	small	once	1550000	50000	267768
ItoM-hits-filtered	7.00s	single-write	large	none	500000	500000	64000000
ItoM-misses-filtered	7.00s	single-write	large	none	500000	500000	15227587
ItoM-hits-filtered	7.00s	random-write	large	none	3100000	100000	204800006
ItoM-misses-filtered	7.00s	random-write	large	none	3100000	100000	202656204
PCIeRdCur-hits	6.00s	single-read	large	none	250000	250000	32500712
PCIeRdCur-misses	6.00s	single-read	large	none	250000	250000	306
PCIeRdCur-hits	10.00s	random-read	large	none	1550000	50000	102700379
PCIeRdCur-misses	10.00s	random-read	large	none	1550000	50000	101034960
ItoM-hits-filtered	8.00s	single-write	large	always	500000	500000	64000006
ItoM-misses-filtered	8.00s	single-write	large	always	500000	500000	12410802
ItoM-hits-filtered	15.00s	random-write	large	always	3100000	100000	204800030
ItoM-misses-filtered	16.00s	random-write	large	always	3100000	100000	5946937
PCIeRdCur-hits	7.00s	single-read	large	always	250000	250000	32500391
PCIeRdCur-misses	8.00s	single-read	large	always	250000	250000	366
PCIeRdCur-hits	25.01s	random-read	large	always	1550000	50000	102701591
PCIeRdCur-misses	25.01s	random-read	large	always	1550000	50000	2985451
