counter	time	pattern	blocks_total	cmds_total	pcm_total
PCIeRdCur-hits	5.00s	single	487856	487856	1232192
PCIeRdCur-misses	5.00s	single	486535	486535	339728
RFO-hits-filtered	5.00s	single	486745	486745	486992
RFO-misses-filtered	5.00s	single	486218	486218	86
ItoM-hits-filtered	5.00s	single	488895	488895	62578865
ItoM-misses-filtered	5.00s	single	486441	486441	59664
PCIeRdCur-hits	5.00s	random	733305	23655	137273
PCIeRdCur-misses	5.00s	random	832288	26848	11406
RFO-hits-filtered	5.00s	random	815703	26313	26314
RFO-misses-filtered	5.00s	random	828816	26736	1
ItoM-hits-filtered	5.00s	random	832598	26858	55008361
ItoM-misses-filtered	5.00s	random	842580	27180	99303
PCIeRdCur-hits	5.00s	flush	0	344765	355043
PCIeRdCur-misses	5.00s	flush	0	355410	1387
RFO-hits-filtered	5.00s	flush	0	344838	344848
RFO-misses-filtered	5.00s	flush	0	345356	28
ItoM-hits-filtered	5.00s	flush	0	352884	11
ItoM-misses-filtered	5.00s	flush	0	345019	8
PCIeRdCur-hits	5.00s	noop	0	0	1521
PCIeRdCur-misses	5.00s	noop	0	0	257
RFO-hits-filtered	5.00s	noop	0	0	106
RFO-misses-filtered	5.00s	noop	0	0	9
ItoM-hits-filtered	5.00s	noop	0	0	15
ItoM-misses-filtered	5.00s	noop	0	0	0
