real,user,sys,benchmark,threads,loadconfig,runtime,throughput
73.02,56.59,101.74,default,3,plain,72,206260.84
74.14,49.84,92.79,default,3,random,71,218030.70
89.11,54.07,98.96,default,3,single,85,179566.27
73.02,60.05,104.24,default,3,plain,71,210100.25
73.06,50.48,93.99,default,3,random,71,208868.42
94.05,55.93,99.73,default,3,single,91,166195.08
74.02,54.38,98.36,default,3,plain,72,205496.82
77.28,53.70,96.49,default,3,random,74,203996.24
75.23,52.39,95.88,default,3,single,74,202332.15
73.04,58.01,100.18,default,3,plain,72,205741.66
75.40,53.20,94.78,default,3,random,73,201597.89
95.12,55.69,99.23,default,3,single,93,163837.43
76.02,58.55,102.03,default,3,plain,75,199750.63
80.02,57.17,99.50,default,3,random,77,194485.74
76.02,54.20,94.16,default,3,single,74,203709.82
75.03,56.59,98.90,big buffer,3,plain,73,203822.03
78.01,56.40,97.95,big buffer,3,random,77,194371.45
77.06,54.61,96.10,big buffer,3,single,75,196977.55
75.02,55.68,101.04,big buffer,3,plain,73,204051.42
75.31,52.52,95.58,big buffer,3,random,73,199676.40
77.32,52.76,97.05,big buffer,3,single,75,195737.08
76.02,55.70,99.67,big buffer,3,plain,75,199446.66
78.10,56.36,98.33,big buffer,3,random,77,195047.84
80.23,54.29,98.95,big buffer,3,single,79,187279.81
75.02,54.51,97.36,big buffer,3,plain,73,203388.21
76.26,53.59,97.24,big buffer,3,random,74,198204.78
78.04,54.13,99.10,big buffer,3,single,76,195161.82
74.02,52.88,95.68,big buffer,3,plain,72,203404.33
73.10,49.61,94.32,big buffer,3,random,72,207738.60
74.12,50.82,95.14,big buffer,3,single,73,202739.74
74.02,53.42,97.36,caching,3,plain,72,206194.63
76.02,53.73,96.36,caching,3,random,75,200416.67
78.20,56.41,97.34,caching,3,single,76,192924.59
76.01,56.23,98.39,caching,3,plain,73,208188.44
75.12,51.90,95.44,caching,3,random,74,203451.31
76.08,50.50,93.55,caching,3,single,74,201887.47
75.03,59.02,104.59,caching,3,plain,73,202150.71
77.03,53.70,96.09,caching,3,random,75,201020.76
78.04,54.81,97.21,caching,3,single,76,197256.26
74.01,55.37,99.82,caching,3,plain,72,207636.67
77.03,55.97,95.18,caching,3,random,76,197411.53
75.03,51.32,93.57,caching,3,single,72,209024.39
73.02,56.48,100.23,caching,3,plain,72,207225.97
76.11,52.60,95.62,caching,3,random,74,198256.74
75.13,51.35,93.53,caching,3,single,72,211254.46
