real,user,sys,benchmark,threads,loadconfig,runtime,throughput
320.79,943.06,1.04,default,3,random,316.22,94870.7
317.46,929.53,0.98,default,3,single,312.926,95869.3
325.04,954.99,1.00,default,3,plain,320.498,93604.3
326.83,928.24,1.10,default,3,random,322.224,93102.8
313.06,925.34,1.03,default,3,single,308.447,97261.4
323.07,935.06,0.99,default,3,plain,318.648,94147.7
322.51,949.52,1.01,default,3,random,317.961,94351.1
335.62,974.22,1.02,default,3,single,331.037,90624.3
322.50,937.55,1.06,default,3,plain,318.086,94314
350.48,987.74,1.06,default,3,random,346.002,86704.8
316.50,932.76,1.01,default,3,single,311.975,96161.6
323.81,940.46,1.00,default,3,plain,319.243,93972.4
322.89,948.94,1.17,default,3,random,318.272,94258.9
318.80,930.03,1.17,default,3,single,314.218,95475.2
347.69,998.34,1.08,big buffer,3,random,343.079,87443.4
376.50,1107.52,1.22,big buffer,3,single,371.911,80664.4
344.02,950.53,0.92,big buffer,3,plain,339.548,88352.8
396.39,1132.16,1.11,big buffer,3,random,391.718,76585.7
321.17,936.39,1.04,big buffer,3,single,316.604,94755.5
339.72,947.45,1.03,big buffer,3,plain,335.245,89486.7
323.53,937.54,1.11,big buffer,3,random,318.876,94080.5
316.58,926.20,1.00,big buffer,3,single,311.913,96180.6
342.46,969.40,0.95,big buffer,3,plain,337.963,88767.2
372.76,1032.67,1.04,big buffer,3,random,368.04,81512.9
385.66,1114.20,1.10,big buffer,3,single,381.051,78729.5
321.90,940.90,1.09,big buffer,3,plain,317.407,94515.9
324.90,925.85,0.92,big buffer,3,random,320.35,93647.7
319.13,930.39,0.98,big buffer,3,single,314.505,95387.9
313.23,927.24,1.00,caching,3,random,308.642,97200.1
364.13,1073.32,1.10,caching,3,single,359.487,83452.2
337.68,911.70,1.05,caching,3,plain,333.314,90005.1
312.53,927.86,1.09,caching,3,random,307.953,97417.5
317.94,940.33,1.15,caching,3,single,313.359,95736.7
328.86,958.10,1.09,caching,3,plain,324.434,92468.6
312.94,924.53,1.10,caching,3,random,308.359,97289.2
339.48,984.59,1.06,caching,3,single,334.829,89597.9
406.85,1159.29,1.11,caching,3,plain,402.269,74576.9
312.47,923.04,1.04,caching,3,random,307.902,97433.6
312.68,923.98,1.04,caching,3,single,308.218,97333.7
386.70,1133.71,1.04,caching,3,plain,382.233,78486.2
312.72,925.33,1.10,caching,3,random,308.204,97338.3
313.29,927.92,1.08,caching,3,single,308.696,97182.9
