real,user,sys,benchmark,threads,loadconfig,runtime,throughput
363.39,1811.37,0.06,default,5,plain,362.41,1.37965e+07
370.14,1820.83,0.06,default,5,random,369.165,1.35441e+07
366.47,1815.93,0.04,default,5,single,365.49,1.36803e+07
366.39,1815.62,0.04,default,5,plain,365.417,1.3683e+07
364.49,1812.58,0.04,default,5,random,363.519,1.37545e+07
368.21,1820.03,0.05,default,5,single,367.238,1.36152e+07
364.18,1813.08,0.04,default,5,plain,363.208,1.37662e+07
369.20,1820.76,0.05,default,5,random,368.22,1.35788e+07
371.36,1828.79,0.02,default,5,single,370.387,1.34994e+07
368.42,1818.03,0.02,default,5,plain,367.444,1.36075e+07
366.51,1816.21,0.04,default,5,random,365.534,1.36786e+07
371.08,1828.84,0.05,default,5,single,370.101,1.35098e+07
369.00,1822.74,0.06,default,5,plain,368.027,1.35859e+07
384.45,1907.37,0.05,default,5,random,383.478,1.30385e+07
366.89,1818.36,0.06,default,5,single,365.913,1.36644e+07
368.51,1819.44,0.04,big buffer,5,plain,367.536,1.36041e+07
367.40,1822.18,0.05,big buffer,5,random,366.425,1.36454e+07
368.57,1838.13,0.05,big buffer,5,single,367.592,1.3602e+07
363.14,1810.46,0.05,big buffer,5,plain,362.162,1.3806e+07
363.34,1811.16,0.06,big buffer,5,random,362.368,1.37981e+07
371.62,1832.64,0.02,big buffer,5,single,370.648,1.34899e+07
363.40,1811.27,0.04,big buffer,5,plain,362.421,1.37961e+07
369.33,1821.22,0.04,big buffer,5,random,368.352,1.3574e+07
369.57,1820.77,0.06,big buffer,5,single,368.594,1.35651e+07
368.91,1820.10,0.04,big buffer,5,plain,367.93,1.35895e+07
369.57,1820.80,0.06,big buffer,5,random,368.598,1.35649e+07
368.85,1821.17,0.06,big buffer,5,single,367.871,1.35917e+07
376.67,1853.60,0.05,big buffer,5,plain,375.691,1.33088e+07
382.28,1859.74,0.05,big buffer,5,random,381.303,1.31129e+07
367.67,1817.81,0.03,big buffer,5,single,366.699,1.36352e+07
369.83,1821.04,0.06,caching,5,plain,368.851,1.35556e+07
371.98,1830.52,0.06,caching,5,random,371.002,1.3477e+07
367.70,1817.24,0.05,caching,5,single,366.726,1.36342e+07
363.16,1810.87,0.05,caching,5,plain,362.185,1.38051e+07
364.78,1814.76,0.05,caching,5,random,363.802,1.37437e+07
366.42,1815.84,0.06,caching,5,single,365.44,1.36821e+07
369.69,1818.91,0.06,caching,5,plain,368.711,1.35607e+07
366.89,1818.28,0.07,caching,5,random,365.913,1.36644e+07
366.14,1815.96,0.06,caching,5,single,365.168,1.36923e+07
364.18,1811.45,0.05,caching,5,plain,363.207,1.37663e+07
368.50,1819.36,0.08,caching,5,random,367.523,1.36046e+07
367.93,1821.44,0.07,caching,5,single,366.934,1.36264e+07
368.55,1818.46,0.03,caching,5,plain,367.571,1.36028e+07
375.46,1833.33,0.08,caching,5,random,374.483,1.33517e+07
369.25,1821.05,0.06,caching,5,single,368.274,1.35769e+07
368.62,1818.60,0.04,single channel,5,plain,367.645,1.36001e+07
366.62,1817.14,0.06,single channel,5,random,365.638,1.36747e+07
372.32,1831.88,0.06,single channel,5,single,371.345,1.34646e+07
366.34,1815.58,0.05,single channel,5,plain,365.359,1.36852e+07
366.32,1814.22,0.07,single channel,5,random,365.345,1.36857e+07
369.17,1820.69,0.06,single channel,5,single,368.193,1.35798e+07
363.39,1810.95,0.10,single channel,5,plain,362.407,1.37966e+07
365.90,1816.85,0.05,single channel,5,random,364.925,1.37014e+07
369.43,1825.02,0.10,single channel,5,single,368.458,1.35701e+07
363.98,1811.67,0.08,single channel,5,plain,363.001,1.37741e+07
366.13,1817.74,0.07,single channel,5,random,365.146,1.36931e+07
367.92,1820.80,0.06,single channel,5,single,366.943,1.36261e+07
364.43,1813.36,0.04,single channel,5,plain,363.448,1.37571e+07
365.66,1813.37,0.06,single channel,5,random,364.681,1.37106e+07
368.79,1822.42,0.07,single channel,5,single,367.815,1.35938e+07
