name	user	system	elapsed	CPU
parsec.blackscholes [1]	186.42	0.34	1:07.09	278
parsec.bodytrack [1]	173.88	0.83	0:49.32	354
parsec.canneal [1]	164.28	0.42	1:09.90	235
parsec.dedup [1]	26.60	6.28	0:07.26	452
parsec.facesim [1]	409.68	0.86	1:52.77	364
parsec.ferret [1]	449.82	0.92	1:22.93	543
parsec.fluidanimate [1]	360.64	0.18	1:31.88	392
parsec.freqmine [1]	463.16	0.68	1:57.57	394
parsec.netdedup [1]	33.10	9.45	0:08.02	530
parsec.netferret [1]	628.86	55.90	9:36.04	118
parsec.netstreamcluster [1]	457.29	7.17	1:59.59	388
parsec.raytrace [1]	228.04	0.31	1:31.04	250
parsec.streamcluster [1]	449.76	0.48	2:01.64	370
parsec.swaptions [1]	0.00	0.00	0:00.00	0
parsec.vips [1]	113.99	1.30	0:28.68	401
parsec.x264 [1]	105.80	0.73	0:27.59	386
splash2.barnes [2]	0.39	0.00	0:00.11	357
splash2.cholesky [2]	0.00	0.00	0:00.01	120
splash2.fft [2]	0.01	0.00	0:00.01	123
splash2.fmm [2]	0.00	0.00	0:00.00	114
splash2.lu_cb [2]	0.08	0.00	0:00.03	235
splash2.lu_ncb [2]	0.05	0.00	0:00.01	273
splash2.ocean_cp [2]	0.13	0.00	0:00.05	280
splash2.ocean_ncp [2]	0.12	0.00	0:00.04	321
splash2.radiosity [2]	3.66	0.02	0:00.94	389
splash2.radix [2]	0.02	0.00	0:00.00	311
splash2.raytrace [2]	0.07	0.00	0:00.03	253
splash2.volrend [2]	0.01	0.00	0:00.00	228
splash2.water_nsquared [2]	0.09	0.00	0:00.03	306
splash2.water_spatial [2]	0.08	0.00	0:00.02	323
splash2x.barnes [2]	156.24	0.68	0:41.39	379
splash2x.cholesky [2]	0.12	0.01	0:00.07	197
splash2x.fft [2]	64.76	9.84	0:39.86	187
splash2x.fmm [2]	114.36	2.83	0:31.94	366
splash2x.lu_cb [2]	120.12	0.07	0:32.15	373
splash2x.lu_ncb [2]	213.81	0.12	0:54.66	391
splash2x.ocean_cp [2]	214.30	0.95	1:04.87	331
splash2x.ocean_ncp [2]	230.44	3.28	0:58.61	398
splash2x.radiosity [2]	200.32	0.16	1:46.85	187
splash2x.radix [2]	41.76	1.32	0:10.85	396
splash2x.raytrace [2]	138.48	0.02	0:34.71	398
splash2x.volrend [2]	138.57	0.44	0:37.19	373
splash2x.water_nsquared [2]	507.76	0.03	2:15.00	376
splash2x.water_spatial [2]	180.66	1.21	0:59.47	305
