name	user	system	elapsed	CPU
parsec.blackscholes [1]	165.97	0.29	0:56.73	293
parsec.bodytrack [1]	167.57	0.72	0:47.47	354
parsec.canneal [1]	187.76	0.40	1:19.35	237
parsec.dedup [1]	26.86	6.26	0:07.55	438
parsec.facesim [1]	476.04	1.06	2:20.25	340
parsec.ferret [1]	455.77	1.36	1:24.23	542
parsec.fluidanimate [1]	370.14	0.18	1:35.21	388
parsec.freqmine [1]	562.39	0.64	2:22.42	395
parsec.netdedup [1]	32.09	8.44	0:07.63	530
parsec.netferret [1]	629.53	59.93	9:37.81	119
parsec.netstreamcluster [1]	465.73	5.58	1:58.17	398
parsec.raytrace [1]	278.75	0.27	1:45.21	265
parsec.streamcluster [1]	460.74	0.40	2:02.58	376
parsec.swaptions [1]	0.00	0.00	0:00.00	0
parsec.vips [1]	118.88	1.34	0:30.14	398
parsec.x264 [1]	110.32	0.75	0:29.31	378
splash2.barnes [2]	0.44	0.00	0:00.12	354
splash2.cholesky [2]	0.00	0.00	0:00.00	100
splash2.fft [2]	0.00	0.00	0:00.00	88
splash2.fmm [2]	0.00	0.00	0:00.00	66
splash2.lu_cb [2]	0.05	0.00	0:00.02	216
splash2.lu_ncb [2]	0.05	0.00	0:00.02	272
splash2.ocean_cp [2]	0.10	0.01	0:00.04	310
splash2.ocean_ncp [2]	0.12	0.02	0:00.04	313
splash2.radiosity [2]	4.63	0.02	0:01.18	392
splash2.radix [2]	0.02	0.00	0:00.00	311
splash2.raytrace [2]	0.06	0.00	0:00.02	242
splash2.volrend [2]	0.01	0.00	0:00.00	171
splash2.water_nsquared [2]	0.09	0.00	0:00.02	317
splash2.water_spatial [2]	0.11	0.00	0:00.04	290
splash2x.barnes [2]	161.82	0.87	0:43.51	373
splash2x.cholesky [2]	0.16	0.01	0:00.09	189
splash2x.fft [2]	55.56	10.56	0:35.26	187
splash2x.fmm [2]	116.51	2.75	0:33.01	361
splash2x.lu_cb [2]	122.51	0.06	0:33.79	362
splash2x.lu_ncb [2]	215.14	0.10	0:56.15	383
splash2x.ocean_cp [2]	237.03	1.11	1:00.84	391
splash2x.ocean_ncp [2]	252.14	3.66	1:05.64	389
splash2x.radiosity [2]	204.99	0.15	1:50.17	186
splash2x.radix [2]	42.72	1.87	0:11.24	396
splash2x.raytrace [2]	140.54	0.00	0:35.20	399
splash2x.volrend [2]	147.82	0.54	0:39.53	375
splash2x.water_nsquared [2]	521.45	0.04	2:16.36	382
splash2x.water_spatial [2]	145.50	1.27	0:40.80	359
