name	user	system	elapsed	CPU
parsec.blackscholes [1]	165.92	0.32	0:58.24	285
parsec.bodytrack [1]	178.16	0.73	0:49.74	359
parsec.canneal [1]	171.16	0.40	1:13.56	233
parsec.dedup [1]	25.64	6.14	0:06.97	455
parsec.facesim [1]	457.02	1.02	2:22.99	320
parsec.ferret [1]	458.97	1.74	1:25.15	541
parsec.fluidanimate [1]	377.73	0.19	1:45.30	358
parsec.freqmine [1]	490.06	0.74	2:04.40	394
parsec.netdedup [1]	32.06	8.38	0:07.47	541
parsec.netferret [1]	456.32	29.96	7:15.22	111
parsec.netstreamcluster [1]	462.36	5.50	2:00.86	387
parsec.raytrace [1]	228.29	0.27	1:32.59	246
parsec.streamcluster [1]	442.85	0.48	2:00.24	368
parsec.swaptions [1]	0.00	0.00	0:00.00	0
parsec.vips [1]	117.03	1.56	0:29.76	398
parsec.x264 [1]	115.48	0.77	0:33.43	347
splash2.barnes [2]	0.59	0.01	0:00.19	306
splash2.cholesky [2]	0.01	0.00	0:00.00	133
splash2.fft [2]	0.00	0.00	0:00.00	133
splash2.fmm [2]	0.00	0.00	0:00.00	100
splash2.lu_cb [2]	0.04	0.00	0:00.02	218
splash2.lu_ncb [2]	0.05	0.00	0:00.01	273
splash2.ocean_cp [2]	0.14	0.00	0:00.05	286
splash2.ocean_ncp [2]	0.15	0.00	0:00.05	298
splash2.radiosity [2]	4.64	0.02	0:01.18	392
splash2.radix [2]	0.02	0.00	0:00.00	311
splash2.raytrace [2]	0.06	0.00	0:00.03	240
splash2.volrend [2]	0.01	0.00	0:00.00	171
splash2.water_nsquared [2]	0.10	0.00	0:00.03	297
splash2.water_spatial [2]	0.11	0.00	0:00.03	294
splash2x.barnes [2]	168.76	0.87	0:48.58	349
splash2x.cholesky [2]	0.16	0.00	0:00.07	207
splash2x.fft [2]	58.54	10.40	0:36.63	188
splash2x.fmm [2]	120.90	2.46	0:36.84	334
splash2x.lu_cb [2]	128.78	0.08	0:39.38	327
splash2x.lu_ncb [2]	213.12	0.09	0:56.52	377
splash2x.ocean_cp [2]	221.62	1.16	0:58.24	382
splash2x.ocean_ncp [2]	236.08	3.30	1:03.89	374
splash2x.radiosity [2]	210.10	0.20	1:51.55	188
splash2x.radix [2]	42.46	1.56	0:11.76	374
splash2x.raytrace [2]	147.98	0.02	0:37.06	399
splash2x.volrend [2]	146.74	0.46	0:39.20	375
splash2x.water_nsquared [2]	539.40	0.03	2:24.83	372
splash2x.water_spatial [2]	149.52	1.21	0:41.50	363
